year,agent,disturbance_ha,disturbance_perc
1986,harvest,25.2,0.19211636762839207
1987,harvest,56.43,0.4302034375107208
1988,harvest,69.75,0.5317506604000137
1989,harvest,59.849999999999994,0.45627637311743113
1990,harvest,67.5,0.5145974132903358
1991,harvest,71.64,0.5461593879721431
1992,harvest,43.47,0.3314007341589763
1993,harvest,23.759999999999998,0.18113828947819824
1994,harvest,42.57,0.32453943531510515
1995,harvest,43.379999999999995,0.33071460427458915
1996,harvest,41.58,0.3169920065868469
1997,harvest,40.86,0.31150296751175
1998,harvest,83.42999999999999,0.6360424028268551
1999,harvest,39.78,0.3032694088991046
2000,harvest,59.94,0.45696250300181823
2001,harvest,36.72,0.2799409928299427
2001,wind/barkbeetle,1.3499999999999999,0.010291948265806717
2002,harvest,79.56,0.6065388177982092
2002,wind/barkbeetle,15.209999999999999,0.11595595046142236
2003,harvest,162.26999999999998,1.2370921815499674
2003,wind/barkbeetle,158.76,1.21033311605887
2004,harvest,76.41,0.5825242718446602
2004,wind/barkbeetle,23.759999999999998,0.18113828947819824
2005,harvest,185.67,1.4154859514906173
2005,wind/barkbeetle,19.169999999999998,0.1461456653744554
2006,harvest,243.81,1.8587258568046932
2006,wind/barkbeetle,87.47999999999999,0.6669182476242753
2007,harvest,125.00999999999999,0.9530344094137021
2007,wind/barkbeetle,105.11999999999999,0.8013997049641498
2008,harvest,144.9,1.1046691138632543
2008,wind/barkbeetle,762.2099999999999,5.810833990874472
2009,harvest,266.21999999999997,2.0295721980170844
2009,wind/barkbeetle,228.15,1.7393392569213355
2010,harvest,267.65999999999997,2.0405502761672785
2010,wind/barkbeetle,133.29,1.0161583587773166
2011,harvest,312.39,2.3815568287076743
2011,wind/barkbeetle,113.75999999999999,0.8672681738653126
2012,harvest,200.42999999999998,1.528011252530104
2012,wind/barkbeetle,26.55,0.2024083158941988
2013,harvest,178.82999999999998,1.3633400802771964
2013,wind/barkbeetle,75.6,0.5763491028851762
2014,harvest,162.18,1.2364060516655804
2014,wind/barkbeetle,616.41,4.699303578167347
2015,harvest,148.85999999999999,1.1348588287762873
2015,wind/barkbeetle,65.42999999999999,0.49881642594943215
2016,harvest,186.03,1.4182304710281657
2017,harvest,221.4,1.6878795155923016
2017,wind/barkbeetle,16.02,0.12213111942090639
2018,harvest,309.51,2.3596006724072867
2018,wind/barkbeetle,19.349999999999998,0.14751792514322962
2019,harvest,285.03,2.1729733438539913
2019,wind/barkbeetle,11.969999999999999,0.09125527462348623
2020,harvest,53.01,0.4041305019040104
2020,wind/barkbeetle,0.27,0.0020583896531613435
