,records,n.max,n.start,events,rmean,se(rmean),median,0.95LCL,0.95UCL,median.ceiling
group=refclim.ADAPTATION,5,5,5,5,26.8,1.397139936,29,23,NA,29
group=rcp45.ADAPTATION,20,20,20,15,29.45,2.705064694,24,22,NA,24
group=rcp85.ADAPTATION,20,20,20,20,21.55,0.813864239,23,21,NA,23
group=refclim.BAU,5,5,5,5,24.8,0.867179336,24,23,NA,24
group=rcp45.BAU,20,20,20,15,37.75,2.340806485,38.5,28,NA,39
group=rcp85.BAU,20,20,20,20,26.9,0.509411425,26.5,26,30,27
group=refclim.BIOECONOMY,5,5,5,5,23,0,23,NA,NA,23
group=rcp45.BIOECONOMY,20,20,20,15,32.45,2.800424075,26,23,NA,26
group=rcp85.BIOECONOMY,20,20,20,20,22.25,0.802729718,24,23,NA,24
group=refclim.CONSERVATION,5,5,5,5,32.4,1.080740487,34,30,NA,34
group=rcp45.CONSERVATION,20,20,20,14,38.8,2.187007087,34.5,32,NA,35
group=rcp85.CONSERVATION,20,20,20,20,26.25,0.851102227,26.5,25,29,27
group=refclim.UNMANAGED,5,5,5,5,34.4,0.920869155,34,33,NA,34
group=rcp45.UNMANAGED,20,20,20,14,38.8,2.25122189,38.5,32,NA,39
group=rcp85.UNMANAGED,20,20,20,20,25.75,1.026827639,26.5,25,30,27
