"","rcp","mgm","meanpercdiff","minpercdiff","maxpercdiff","q1","q2","name"
"1","rcp45","ADAPTATION",-2.33855248492944,-8.34041998983153,1.63354111234072,-3.30032951016067,-0.309349439223605,"MF SCORE"
"2","rcp45","BAU",-3.09815099176551,-10.0041255599807,1.2684638498242,-4.14801725656314,-0.423341043946682,"MF SCORE"
"3","rcp45","BIOECONOMY",-2.8204711394298,-9.47673637164328,1.59604293434901,-3.97846465504989,-0.468977438054197,"MF SCORE"
"4","rcp45","CONSERVATION",-3.22840694424461,-9.98131665388924,0.759274445923216,-4.46160922554621,-0.750751333949501,"MF SCORE"
"5","rcp45","UNMANAGED",-5.71549380354432,-13.8650728166741,-0.992662518052041,-8.04932636461014,-2.33981225810378,"MF SCORE"
"6","rcp85","ADAPTATION",-1.89620941906353,-6.58011464145197,7.05513636088572,-5.23813565032616,-0.569284648413822,"MF SCORE"
"7","rcp85","BAU",-3.32856149564155,-9.95624923797137,6.71701672678762,-8.07846168210602,-1.25310255248693,"MF SCORE"
"8","rcp85","BIOECONOMY",-2.74226540300265,-7.41076831504787,6.95104863758094,-6.73812985830531,-1.38725065889993,"MF SCORE"
"9","rcp85","CONSERVATION",-3.22714519018753,-9.57099949799257,7.05135089155064,-7.82550535363321,-1.00841506934399,"MF SCORE"
"10","rcp85","UNMANAGED",-6.35174982837631,-14.9820982666379,5.47603669117775,-11.338427011832,-3.14873070338573,"MF SCORE"
