mgm,rcp,mean.absdiff,min.absdiff,max.absdiff,mean.percdiff,min.percdiff,max.percdiff
ADAPTATION,rcp45,0.0284918309840377,-0.00834883310188794,0.062361735057552,8.28238573928156,-2.41215657731486,18.0506898460263
ADAPTATION,rcp85,0.0127863290812978,-0.0434009555866935,0.0428501633038174,3.71548778029513,-12.7052885230152,12.403038609092
BAU,rcp45,0.0412655419357905,-0.000994556799979895,0.0919410864222121,12.2386265513429,-0.300040679056806,27.9718652983711
BAU,rcp85,0.031672680361291,-0.0314002413076009,0.0709780145516598,9.38210432886527,-9.07486483191137,21.5130293324197
BIOECONOMY,rcp45,0.0345202576170251,-0.00405703056649837,0.0768256044045044,10.2054567907687,-1.1973473880868,23.0766923711743
BIOECONOMY,rcp85,0.0227650065151022,-0.0378575804860891,0.0532431678965414,6.72765922515457,-11.1728700021671,15.9592415254724
CONSERVATION,rcp45,0.0348087666132791,-0.00384053152056868,0.0786494995299959,9.99283892444555,-1.11460624731609,22.9453822261187
CONSERVATION,rcp85,0.0172358053123669,-0.0403973460597212,0.0502763854443385,4.9360648056393,-11.922522686715,14.3355115280617
UNMANAGED,rcp45,0.0502754185451533,0.0101435217025632,0.111483057026895,16.1543593663937,3.16240831792862,38.1317259515206
UNMANAGED,rcp85,0.0378365682979844,-0.0389521073538589,0.0859597026047779,12.1368434901581,-12.7494600422684,28.1355712965377
